# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
3.092123683285165292e+00 4.280041428129049308e+00 1.000000000000000000e+00 7.931293915739221490e-01 1.077979139992307900e+01 1.080646738322476885e+01 1.925841423320602677e-06 6.019203549617908183e-02 1.875729039360455597e-01 4.649769656840744836e-01 8.100814229765088692e-01 -1.463371081120768726e-02 0.000000000000000000e+00 2.118434421281148450e-02 2.202963818706561022e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.198045404349222576e+00 4.390189619064376991e+00 1.000000000000000000e+00 6.994617661628161898e-01 1.067401259271018610e+01 1.072491093961544983e+01 2.165701766782909718e-06 6.927377301240635055e-02 1.962312702155669386e-01 5.111589361094092121e-01 8.395549619007245390e-01 -1.751629199983154722e-02 0.000000000000000000e+00 2.453189962787824530e-02 2.225367542321697589e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.320704902488613719e+00 4.501457996180461940e+00 1.000000000000000000e+00 6.012221648110305239e-01 1.057331153427562143e+01 1.062913279534644317e+01 2.456435076876612685e-06 7.605675884714875601e-02 2.029212208168724996e-01 5.399740417043753515e-01 8.682513571729196800e-01 -1.766639999007216244e-02 0.000000000000000000e+00 2.987208391661569720e-02 2.295412899756284555e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.470065322071692382e+00 4.616228641168277136e+00 1.000000000000000000e+00 4.974285048403164211e-01 1.048465707753065068e+01 1.051019993214998571e+01 2.809265915215246808e-06 8.526272567379937495e-02 2.106434174600295972e-01 5.674371798899757735e-01 8.969782115247716403e-01 -1.644834690129921492e-02 0.000000000000000000e+00 3.002901051446868128e-02 2.327758117980507219e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.620210374644035944e+00 4.732616547067301838e+00 1.000000000000000000e+00 3.910291008181747685e-01 1.035765127394574669e+01 1.042440692769060639e+01 3.218778818669007825e-06 1.002146123055855653e-01 2.222487502237182888e-01 6.087339234985982284e-01 9.253139990246079805e-01 -1.683357385647897206e-02 0.000000000000000000e+00 2.233804911329046600e-02 2.257286546021168225e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.731900620210488295e+00 4.845480874368360169e+00 1.000000000000000000e+00 2.862585146035101502e-01 1.024364517048452150e+01 1.032887185872250235e+01 3.681885403550325297e-06 1.129439301587477351e-01 2.361313329677967865e-01 6.468156289360170730e-01 9.521396629640770382e-01 -1.864974047625756262e-02 0.000000000000000000e+00 1.509431170170360235e-02 2.190227668873752018e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.807372178719006683e+00 4.954992257812047995e+00 1.000000000000000000e+00 1.822634483674328010e-01 1.014533514668159064e+01 1.021919175005327851e+01 4.220117562815228994e-06 1.220154899374468610e-01 2.499823339602283145e-01 6.744505011738006761e-01 9.775564736739054128e-01 -2.097979198352199065e-02 0.000000000000000000e+00 1.265673674648212788e-02 2.186395998578043523e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.870655862451417129e+00 5.064312057740950834e+00 1.000000000000000000e+00 7.562919658922773181e-02 1.005291675309758581e+01 1.009834164008087320e+01 4.873286171286546499e-06 1.301288155057923612e-01 2.627666509314415255e-01 6.990231592874569522e-01 1.002245344693124984e+00 -2.354290515260877223e-02 0.000000000000000000e+00 1.567410360329189387e-02 2.225537476199518361e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.949026380467876685e+00 5.175588931550926475e+00 1.000000000000000000e+00 -3.614885765168018850e-02 9.949539045549112615e+00 9.978163239147530561e+00 5.296340892701352714e-06 1.415631624382109877e-01 2.733565677322986054e-01 7.322074238749554098e-01 1.026644347993648232e+00 -2.633943280701534634e-02 0.000000000000000000e+00 2.591052320222042571e-02 2.276648473307187406e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.078578996478978702e+00 5.289421355216286535e+00 1.000000000000000000e+00 -1.541169842537062351e-01 9.813205260353054626e+00 9.878560771139536456e+00 4.949426003206698892e-06 1.635903355224092581e-01 2.814403815811511445e-01 7.899685735967321154e-01 1.050874674704648903e+00 -2.940291550437758306e-02 0.000000000000000000e+00 3.717523420677285723e-02 2.307231099106007988e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.264455167512843481e+00 5.404782910171586074e+00 1.000000000000000000e+00 -2.769997015973881815e-01 9.685081398730712721e+00 9.760919198074514469e+00 4.638874203259167816e-06 1.880832786450556682e-01 2.886195561025492462e-01 8.542418187026189491e-01 1.075013382075232782e+00 -3.050622985288733297e-02 0.000000000000000000e+00 4.057334188412381470e-02 2.303891851871278651e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.467321876933461944e+00 5.519977502765150312e+00 1.000000000000000000e+00 -4.014019031772715351e-01 9.577343585467827936e+00 9.619852608177632547e+00 4.398957417962945752e-06 1.887651533675846760e-01 2.972794500472640822e-01 8.568239405157367372e-01 1.099132394404394031e+00 -2.389172944659406425e-02 0.000000000000000000e+00 3.622819020150383484e-02 2.225971781910055999e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.648462827940980979e+00 5.631276091860653032e+00 1.000000000000000000e+00 -5.222861968620620132e-01 9.440102663428245222e+00 9.515324942847634304e+00 4.229029712141570412e-06 1.631529944070437554e-01 3.091738061895764056e-01 7.948272596195323780e-01 1.122856707167711132e+00 -1.101155260515472752e-02 0.000000000000000000e+00 2.515351616078761662e-02 2.051996470809674608e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.774230408744918996e+00 5.733875915401136503e+00 1.000000000000000000e+00 -6.352133290329859960e-01 9.320274311515078125e+00 9.409299030418953436e+00 4.089939538182229470e-06 1.488837179585733861e-01 3.234035176467781048e-01 7.642127254118654678e-01 1.145190348216476028e+00 -4.206350117888359857e-03 0.000000000000000000e+00 1.685992640040355831e-02 1.927019311268057464e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.753198658155477041e+00 5.733875915401136503e+00 0.000000000000000000e+00 -4.179362383086058230e-01 9.501856065041897281e+00 9.662271458340894625e+00 3.519830755726883467e-06 1.732174908599706242e-01 3.257915998140163416e-01 8.261545154025693449e-01 1.126747264543218607e+00 -1.476390657664441823e-02 -5.723890141230514317e-02 1.349082911060420394e-02 1.959682674697914642e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.679379125272255635e+00 5.447681408339611231e+00 0.000000000000000000e+00 -4.300441421864888980e-01 9.512217497825352197e+00 9.627694217801673560e+00 2.832476847504284414e-06 1.916131520738135197e-01 2.967004464859116508e-01 8.607947134036791903e-01 1.075177597575016186e+00 -1.263729051023543964e-02 -4.979048366693938216e-02 -6.671565040937398050e-02 1.514747125750362869e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.616192672721078694e+00 5.198728990004913619e+00 0.000000000000000000e+00 -4.818868513479266369e-01 9.496681539864331612e+00 9.539544757439818667e+00 2.347401569576194417e-06 2.116316024786018546e-01 2.736766240726265509e-01 8.984408827234864336e-01 1.024341537780728340e+00 -1.794326394749872974e-02 -3.984636495776715248e-02 -1.197658515714756511e-01 1.230536441000417563e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.526476352983585194e+00 4.999497165216078010e+00 0.000000000000000000e+00 -5.168507250584504220e-01 9.429940219018330794e+00 9.536358330864771915e+00 2.045983591840836753e-06 2.326751831424014316e-01 2.463655186006025732e-01 9.400709988002489137e-01 9.716695960807830712e-01 -2.851972807152498846e-02 -2.659197121688938736e-02 -1.259978947143653716e-01 1.216169239859596699e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.383877712625960044e+00 4.866537309131630629e+00 0.000000000000000000e+00 -4.222296481961311798e-01 9.555805373521504720e+00 9.599735330086236473e+00 2.062906749320301274e-06 2.466913860951142068e-01 2.286969692323486958e-01 9.728727379019747046e-01 9.371491139253200764e-01 -3.142933886507955077e-02 -1.549956176423410506e-02 -1.124330389369732758e-01 1.305504860077491905e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.226731018300561971e+00 4.789039500310460440e+00 0.000000000000000000e+00 -2.468145254763314256e-01 9.700760999791407713e+00 9.805609949255932989e+00 2.361978924320150707e-06 2.280401092263477647e-01 2.214988200611115454e-01 9.319334471130553688e-01 9.207539311286416783e-01 -2.995913422628254316e-02 4.449146240636682632e-03 -9.322704319417471353e-02 1.431378202598799533e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.076935347169149182e+00 4.811285231513643623e+00 0.000000000000000000e+00 -9.920216319450503306e-03 9.915936432007736556e+00 1.006422313535336599e+01 3.082959131904297924e-06 1.843209561255647888e-01 2.242830405228757873e-01 8.311262311282731075e-01 9.279216051821755906e-01 -2.453452943987235318e-02 1.495764778747621891e-02 -5.671690563447595590e-02 1.658583127183678452e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.954262699969787409e+00 4.886073470451025358e+00 0.000000000000000000e+00 1.887780266145675512e-01 1.012429128690702385e+01 1.025326476632211481e+01 2.782422913783468877e-06 1.471269602121288433e-01 2.334608018480651692e-01 7.450681359620013877e-01 9.488843238736536234e-01 -2.211612981680980902e-02 1.054130970446089978e-02 -1.800596221986385664e-02 1.931245692541799439e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.843682050885738555e+00 4.938780018973329078e+00 0.000000000000000000e+00 3.273968119696366585e-01 1.027330091921867528e+01 1.038149270472060159e+01 2.538454789838913426e-06 1.242740330265652143e-01 2.414591150826707333e-01 6.896789876147975118e-01 9.649135538059074868e-01 -2.256602627318297569e-02 -9.945676966329404164e-03 1.302410227627928685e-02 2.181846516159233543e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.730851919519823756e+00 4.889051634141682534e+00 0.000000000000000000e+00 4.193844788961609282e-01 1.036576940956614301e+01 1.047299954822618240e+01 2.233064393468554235e-06 1.121246255532111213e-01 2.353516158168513228e-01 6.551934924221826106e-01 9.524450271936735213e-01 -2.174233242837044291e-02 -2.102094377393080166e-02 3.140128390124573982e-02 2.333721420472902042e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.622140257377971739e+00 4.783946915272028200e+00 0.000000000000000000e+00 4.889521272210775038e-01 1.046315722124748326e+01 1.051474703319467530e+01 1.929705885757463860e-06 1.056616141990324442e-01 2.241877232620319016e-01 6.322833667253412449e-01 9.282608490430042103e-01 -2.029326819227330811e-02 -2.372473460666536457e-02 3.718193293595053323e-02 2.380545901667975237e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
