# w_1 w_2 VF 
3.678754806888874906e+00 8.054747015458603165e-01 -6.440194137870095759e+00
8.476075572850115591e+00 1.699290134165070965e-01 -1.723872774213214143e+01
6.595570375205603852e+00 8.968681089873848933e+00 -2.613096742103154568e+00
4.078274816462768015e+00 8.553947879284679701e+00 -1.013687279200912172e-01
2.693415612323388775e-01 3.169351930424770813e+00 -3.305380460842588519e-01
1.129266402951490278e+00 5.115481213778047653e+00 5.813816117642982562e-01
7.863018661795284636e+00 6.764757009711131808e+00 -5.370793431966378151e+00
1.821960433410562963e-01 2.201380659601434253e+00 -7.841832009062290609e-01
4.258961355088356271e+00 1.998840309037641649e+00 -5.191914395290952555e+00
8.070344115226005144e+00 6.705216657696099425e+00 -5.826805641501779931e+00
2.940632640681680066e+00 2.234201396335471657e+00 -2.143018680524621189e+00
9.825403088232047111e+00 2.464420628732695739e+00 -1.537349561325118152e+01
5.556341147343639264e+00 2.491758756775390993e-01 -1.126198106612173611e+01
7.482019234031296318e-01 3.316063260870166784e-01 -3.294263965962274554e+00
7.579426283244317553e+00 3.556886433478540610e+00 -8.718317397895591014e+00
3.205941654661379481e+00 2.988755678268175675e-01 -6.554940321720097884e+00
8.192801376674925251e+00 6.578244740004095981e+00 -6.180953522381061660e+00
5.000713414799404788e+00 1.058159827160369604e+00 -8.552325309397931008e+00
8.656627660040552286e+00 5.931466977086554682e-01 -1.682267726646387018e+01
7.939217368171435751e+00 3.887095374356347666e+00 -8.836788134652126203e+00
9.910068445896673406e-02 8.743220672972414675e+00 -2.790734317383796181e+00
8.670389037392304488e+00 5.499173271153986242e+00 -8.198780510475446093e+00
9.059874456236341467e-02 1.575647751646927830e+00 -1.411476487570327620e+00
5.988159847437803052e+00 2.635817943122193530e+00 -7.362427430580284593e+00
7.278395427561664022e+00 7.818629183035924690e+00 -3.615909981541337359e+00
8.481732775752242048e+00 6.354438133365420072e+00 -6.958517914141340910e+00
4.768587242362145595e+00 3.614233521148606076e+00 -3.000680290700076469e+00
1.348313278588994413e+00 8.743913965116636433e+00 -2.889704294848360888e-01
8.129626168355210680e+00 5.370684305989875895e+00 -7.257930059239699361e+00
5.983211110989849146e+00 2.695277640395032481e+00 -7.232207205840497366e+00
5.660571812321149920e+00 4.987119762500698550e-01 -1.099245802261612148e+01
9.481224244335702878e+00 6.753380100120724094e+00 -8.641937909243099014e+00
9.786034773915815776e+00 8.785229796194062857e+00 -8.147553204612451694e+00
4.874814261542554483e+00 5.620759086989092879e+00 -6.235380143198216985e-01
9.805869791608119002e+00 4.850780361145019093e+00 -1.133038921198476778e+01
5.625330793008243901e+00 1.595903225077062171e+00 -8.725180163297411084e+00
4.484880098394230963e+00 7.244080394664211831e+00 -2.077131102723814848e-01
8.161652165836743578e+00 6.122457460346008240e+00 -6.550611705109988137e+00
7.782858699269896263e+00 1.481421672555210733e+00 -1.329117834159387890e+01
1.363028984553348311e-01 4.036694212528649572e+00 -7.779394462522777332e-01
3.204475565128447759e-04 6.002307631379664166e+00 -1.972076389925861761e+00
2.441149857222759539e-02 1.953227446880098528e+00 -1.250020276675060771e+00
5.400927541374609397e+00 9.493878168864192446e+00 -1.385403686883366348e+00
2.817705028195796046e+00 2.135103703639029682e+00 -2.180203888905454690e+00
5.754612095622679391e+00 2.053012823762808026e+00 -8.070593295781693044e+00
5.889633007148161958e+00 7.672710649313939868e+00 -1.598459275202005259e+00
8.986770662513520191e-01 1.103261766138328381e+00 -1.774719044023187919e+00
9.269883385182037472e+00 6.400573807735437271e+00 -8.512428797383110535e+00
7.218460524671653999e+00 5.850495865337864920e+00 -4.971330418642539328e+00
