#T1 T2 L2 LInf 
1.790000000000000000e+02 1.800000000000000000e+02 7.714654831946894068e-06 4.468776490765067461e-05
1.800000000000000000e+02 1.810000000000000000e+02 6.584138443002468252e-06 3.814239582390602950e-05
1.810000000000000000e+02 1.820000000000000000e+02 5.665222130016414658e-06 2.975497666333923953e-05
1.820000000000000000e+02 1.830000000000000000e+02 2.183103568296013844e-05 1.719217528217061334e-04
1.830000000000000000e+02 1.840000000000000000e+02 5.097693576955459845e-06 3.407731603947095295e-05
1.840000000000000000e+02 1.850000000000000000e+02 4.018703708548513613e-06 2.811359034475540027e-05
1.850000000000000000e+02 1.860000000000000000e+02 3.346017046307243439e-06 2.085994503001090898e-05
1.860000000000000000e+02 1.870000000000000000e+02 3.328062403402191194e-06 2.725623241899217849e-05
1.870000000000000000e+02 1.880000000000000000e+02 2.445690076244538560e-06 1.624823529291959936e-05
1.880000000000000000e+02 1.890000000000000000e+02 2.128857383297309573e-06 1.447902846985091874e-05
1.890000000000000000e+02 1.900000000000000000e+02 1.956604603954556903e-06 1.559066090997644015e-05
1.900000000000000000e+02 1.910000000000000000e+02 1.569692924469806336e-06 1.038014989035012728e-05
1.910000000000000000e+02 1.920000000000000000e+02 1.404112198448386020e-06 9.694345836534423917e-06
1.920000000000000000e+02 1.930000000000000000e+02 1.268357705258839712e-06 1.150393289589961727e-05
1.930000000000000000e+02 1.940000000000000000e+02 1.044214569507635642e-06 8.649423311455658095e-06
1.940000000000000000e+02 1.950000000000000000e+02 9.338414226200865358e-07 7.089900008297666550e-06
1.950000000000000000e+02 1.960000000000000000e+02 8.678685529676777989e-07 6.973783468468672437e-06
