# w_1 w_2 VF 
7.228715127535738638e+00 8.217220302932625842e+00 -4.172984461765738118e+00
8.808861968591269687e+00 6.394636799775285319e+00 -1.581526791444050062e+00
5.047572753919553179e+00 4.596488353263908921e-01 -3.454189208277984591e-01
1.150807801356582560e+00 6.004754223543398162e+00 -1.366020440589638341e+00
7.240234057891802522e+00 1.610589698214570875e+00 6.488999559951462714e-01
3.504796143703716282e+00 3.334866746650347213e+00 1.354717183799946767e+00
3.858383858328898963e+00 4.538079828342806543e+00 5.575700991903413950e-01
1.834593879395002958e+00 4.796066294818275288e+00 2.505860329547413556e-01
5.904563799097831911e+00 4.934046149959885774e+00 6.778117691282936619e-02
6.536131783628094993e+00 6.397014585508432383e+00 -1.475565537577496755e+00
5.009081557974487175e+00 1.525002180572482713e+00 1.033352119527988222e+00
1.773062511495005600e+00 9.745800682090516309e-01 1.212213933322344062e+00
1.758193794434808277e+00 4.794396193663577499e+00 2.514750916452594964e-01
4.375249982192303655e+00 2.002579397768248004e+00 1.361651623505165887e+00
9.035838993586500223e+00 8.442999969731360466e+00 -4.633270015940071929e+00
9.170142548862830978e+00 8.605282886305603895e+00 -4.936403302679538641e+00
2.980334184443085732e+00 7.519639690846336322e+00 -3.207383683999070811e+00
9.152442766212507408e+00 5.675159186218715845e+00 -8.796823000884632648e-01
1.254432086610894226e+00 2.220948011193637939e+00 1.785366142663404432e+00
4.384888720509929172e+00 6.005350432758135959e+00 -9.602919705212134005e-01
7.721931607171588219e+00 4.340934587532538913e+00 3.450706330768280594e-01
8.523480367245015898e+00 9.386772028552607949e+00 -6.279873164166930977e+00
3.289886911555657711e+00 9.788027988564484971e+00 -7.349858953646618787e+00
8.378990114375026721e+00 4.776170557450723386e+00 -2.100173101644209339e-02
4.397227268838064695e+00 1.353692878673508959e+00 1.009915357164571148e+00
9.544315728204123772e+00 1.661765663320172504e+00 -7.460858721460699172e-01
9.183290170492277582e+00 3.478633736633393259e+00 4.360581723158230005e-01
9.656335680405367938e+00 1.953240589041251418e+00 -5.471430299803632380e-01
6.146980926145046098e+00 5.460619875565786430e+00 -4.279621843597869457e-01
5.073670871043964858e+00 3.095068231859703367e+00 1.219479762658009392e+00
1.797126376127335057e+00 8.496248991654608673e+00 -4.924391900887714613e+00
8.147887528215695951e+00 9.457652466115781920e+00 -6.401284045336071316e+00
5.034971776362679563e+00 5.207028527982137334e+00 -1.039864420017710955e-01
1.825669969289341887e+00 3.619064505995466696e+00 1.254048641334518877e+00
2.601147309996663548e+00 1.165694722692599994e+00 1.159417523740556177e+00
1.705532861800850064e+00 1.984599219023964300e+00 1.739813854946985927e+00
8.740601145062193211e+00 2.493049130667008839e+00 7.337363705155421911e-01
4.641354307468915863e+00 7.432998696654506965e+00 -2.969507305067965675e+00
