# w_1 w_2 VF 
1.799788072748373047e+00 3.562188896054645504e+00 1.141334362682753678e+00
4.454403337396050766e+00 6.355597153071216532e+00 -3.455887882264523370e-01
8.234133524505464763e+00 5.412340451286046239e+00 -7.614026502486014536e+00
9.160857428751432607e+00 6.148444488433812971e+00 -8.653655242865172070e+00
1.545156887585142691e+00 8.950783994447370162e+00 -7.520324377856031361e-01
8.117919102535223752e-01 1.942959962482409875e+00 2.345274796662106809e-01
5.093120357245434882e+00 8.771587342143806865e+00 -1.064896747706372437e+00
6.539135310317965022e+00 3.752284896785603507e+00 -6.388601467822811131e+00
1.482687973999422315e+00 3.309299186919349989e+00 1.164463938892366102e+00
8.940292196045040996e+00 9.501150408269330327e+00 -6.490410733399587073e+00
7.728274650893271591e+00 9.654574108626524875e+00 -4.472188693092904899e+00
3.412796833339195146e+00 8.105138711228885740e+00 2.396905322839284480e-01
3.988586697241990997e+00 7.196955930655778211e+00 -3.956276945064196582e-02
2.792522824388341540e+00 4.043285057610375155e+00 9.400419633857364232e-01
7.449916408544894786e+00 4.343339906883620927e+00 -7.338706960124911305e+00
4.640191752229762656e+00 4.775285293337863557e+00 -1.175760329781043723e+00
3.305556945465596641e+00 3.298250569693778278e+00 -5.711187740216718822e-01
3.348281587325893760e+00 8.902184197563208556e+00 3.341635216565741473e-02
6.948396529732754345e+00 5.579122577344223011e+00 -4.898984167923119415e+00
9.690389719714755046e+00 7.969702658795660533e+00 -8.364974851276203438e+00
1.791316086735049717e-01 5.405500249665650792e+00 -1.624695341477492505e+00
8.162708621427956501e+00 5.081059235145296782e+00 -7.842123291498866777e+00
8.066294550623251958e-01 2.139489662996224562e-01 -3.406287650879677997e+00
4.940891985903867578e+00 4.624705109723626251e+00 -1.965288354209407728e+00
5.460154041162573968e+00 6.903092816562206302e+00 -1.274195372890973843e+00
5.151991018089627339e+00 4.240722822549400917e+00 -2.924551908639843489e+00
2.070977071043880180e+00 5.944759572909720902e+00 8.941386107744602185e-01
7.764539325111252666e+00 6.562634386483434668e+00 -5.441467254792771158e+00
2.318746159836559961e+00 7.392465524799259668e+00 6.279813912369700546e-01
9.287588866843972113e-01 9.208992510402975284e+00 -2.093168050440000982e+00
2.722769636491255252e+00 2.797517412050289476e+00 -6.021871567663783509e-01
8.973506290193666857e+00 6.758006916268931796e+00 -7.704759144638048340e+00
5.067539951946544718e-01 6.327138775840588814e+00 -1.221429056480703323e+00
2.521528395569896830e+00 3.270457084097224687e+00 6.745671784665301374e-01
2.475630920634727783e+00 3.683556433462155777e+00 1.085200008265017502e+00
8.075994787890623527e+00 9.055770394560665792e+00 -4.890410195926962800e+00
8.586850216578152839e+00 8.983081073822752671e+00 -5.835742833188307443e+00
4.501589689055665588e-01 7.250705868049134750e+00 -1.636054783655710665e+00
4.639790577023190643e+00 5.309283709109294591e+00 -6.917068022485199918e-01
2.395673966368458530e+00 3.605486553997127253e+00 1.106087062782533437e+00
2.740781949158547892e+00 2.199876208521163168e+00 -1.961224056376524416e+00
6.204720410321110435e+00 5.160731232110435052e+00 -3.850237954580736144e+00
6.533365637446420848e+00 6.548727825514935930e+00 -3.009994743235440140e+00
4.534476851448540735e+00 9.238902001167449418e-01 -7.964573280258266053e+00
2.874559536215532951e+00 3.223164713271872817e+00 6.583323369704707773e-02
1.095057442540701809e+00 9.545133586672779558e+00 -2.343423012605855504e+00
2.221758160855139330e+00 4.764130935797874500e+00 9.864344561865419081e-01
3.186227106921104557e+00 2.682073047721698522e+00 -1.672745050384039089e+00
4.434109477450464132e-01 5.761135526329161038e+00 -1.166843377830447892e+00
3.449432412293988559e+00 2.409620844812416507e-01 -7.155996877919280408e+00
8.481805798535418717e+00 7.322555854534434694e+00 -6.243395122352014326e+00
3.689714610476100276e+00 9.252655901138336247e+00 -3.847574946321419276e-01
9.854397983713919729e+00 9.219301625525584853e+00 -8.246449946132999642e+00
4.092363340231415236e+00 8.322497327608193274e+00 -2.613735376962740276e-01
5.536455898080199223e-01 5.360734135431729719e+00 -7.856247175222978996e-01
5.167979362818001299e+00 7.303454374109441538e+00 -1.085032567811142101e+00
9.773678115610724859e+00 8.832466984423648526e+00 -8.203186288675171411e+00
7.822609173591183129e+00 9.488950215989753190e+00 -4.550505085589977128e+00
4.838514198390225118e+00 6.163392771657669300e+00 -6.922238753413711976e-01
3.807805756247389706e+00 2.525923504427924904e+00 -3.239654197293932114e+00
2.098225549285296143e+00 3.341249933835275243e+00 1.143756033174211595e+00
3.271649044215210189e+00 6.996101305531604808e+00 4.718889907217072022e-01
8.825744383984387653e+00 8.654288042383130986e+00 -6.361216732486356662e+00
4.194348981505438445e+00 8.210286902057468694e+00 -3.339752002029872102e-01
4.150585273101711437e+00 9.051436782834899830e+00 -4.105934171348071260e-01
5.697720451079006487e+00 7.711507180119505200e+00 -1.592551183284742322e+00
7.305256850137016755e+00 5.380542362956517444e+00 -5.834574158259785648e+00
4.090392547554816183e+00 1.507847756400096384e-01 -8.586149560896048527e+00
1.347783606523498268e+00 5.845538920858809995e+00 3.907288076661625809e-01
4.202157178947981464e+00 7.073363042008940837e+00 -2.052575959623954560e-01
8.070780203144709120e+00 9.011570074900236094e+00 -4.880045861357759307e+00
1.649930910079094426e+00 7.168512821606073615e+00 2.781947618150280022e-01
3.832413936986517111e+00 6.679303020540382718e+00 1.293163932023144724e-01
4.514177738892082736e+00 6.826369921166008936e-01 -8.400180345316586639e+00
1.464619496546010646e+00 1.427378445742682356e+00 -1.180261924901062187e+00
1.378116903995816322e+00 8.249580978413066035e+00 -5.462839404353889705e-01
9.362138658653696766e+00 8.794274348736315972e+00 -7.405427681916991745e+00
6.599527219655300092e-01 2.782877933975825169e+00 1.298209657488751390e-01
7.544298333558393743e+00 4.924466274741492455e+00 -6.815987227028928785e+00
2.703132658139564271e+00 3.777822804958556713e+00 9.436413901748874622e-01
2.970831139116911768e+00 7.109091147115294440e+00 6.087846114296535660e-01
5.059846703349585084e+00 7.903511232013378240e+00 -1.021432141158586049e+00
7.330689085515334824e+00 6.384880253872121436e+00 -4.764671012663713512e+00
3.013574397099231916e+00 3.442228177373265030e+00 2.025893906084075269e-01
6.496667016701066721e+00 7.303964841301476163e+00 -2.556077417666530849e+00
7.079783805001995667e+00 9.768780204808159340e+00 -3.713953384903108557e+00
