# w_1 w_2 VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
3.735527143910631898e-01 3.218938651484153923e-01 8.556418790682803532e+00 1.049747062460223701e-01 3.825293198237555287e-02 6.283097502093061282e-01 3.716804062604593395e-01 -4.745269401054869052e-02 1.352859461832944810e-01 -6.717373002878927746e-02 2.241840937559400060e-01 3.270153245416018706e-13 1.895126174642054184e-01 3.393331622636441836e-13 3.122204101160819256e-13
9.804037120444879516e-01 3.056466361087649131e-01 2.500506278206532151e+00 1.250803922238621635e-01 1.135419394586877767e-01 6.876219613468320668e-01 6.542168552573383034e-01 -3.707750360289632785e-01 3.472186504551589836e-01 -4.651445576796486292e-01 4.084212665850969204e-01 0.000000000000000000e+00 3.933706825006292873e-01 3.539102281551183560e-01 0.000000000000000000e+00
4.545108413824696103e-01 8.130302930571734477e-01 1.109776877128711270e+01 3.986637468315400688e-03 1.929136700356335055e-01 1.078593868497418340e-01 8.586704112823229096e-01 -1.127754000673615933e-02 -8.243695711902207512e-02 1.776864187849450660e-01 4.472324404092273276e-02 9.137883592164053326e-14 8.237052533111022257e-14 8.824614216446091675e-14 7.529675667694579744e-14
7.407201471654585312e-01 3.621616721971484543e-01 5.462492374069446655e+00 1.251120095650251063e-01 1.132896323615747575e-01 6.877107587168056479e-01 6.534684852063821214e-01 -1.311587509306271215e-01 2.907250857619509410e-01 -2.268662471892657351e-01 3.520165784479562521e-01 0.000000000000000000e+00 3.368725077407462853e-01 1.142707205191015596e-01 0.000000000000000000e+00
7.915783538788613294e-01 1.025054259298062931e+00 1.011589784235092537e+01 1.242656671135807800e-01 2.841738757231451196e-01 6.853197308446795644e-01 1.046346994317866042e+00 -2.062069541552967455e-02 1.257652865127135630e-02 -7.953949032992620877e-03 3.006134963936184928e-02 7.009193572771188485e-14 7.355026960739752262e-14 6.463709775750281494e-14 6.763301941062338507e-14
1.211846590182579453e+00 7.725492971605038006e-01 4.761228574188112184e+00 2.003324881250768963e-01 1.626970140116028585e-01 8.754002732829389011e-01 7.869626008775469916e-01 -5.418542786853054460e-01 -5.095654217672870856e-02 -6.396362029375312064e-01 8.523977301137273394e-03 0.000000000000000000e+00 0.000000000000000000e+00 5.122005725637405193e-01 0.000000000000000000e+00
1.066129692577501675e+00 3.932741933199285778e-01 2.519522012126310884e+00 1.251543391299644314e-01 1.135044795050659527e-01 6.878302789060409816e-01 6.541053213833125657e-01 -4.566519073035096299e-01 2.596380447742136499e-01 -5.525300848122205455e-01 3.208664539294033835e-01 0.000000000000000000e+00 3.057805133397126784e-01 4.397342499370792690e-01 0.000000000000000000e+00
8.498979807743882731e-01 1.695858542505028543e+00 9.629315794486277724e+00 1.086786547047634416e-01 8.762554548833972889e-01 6.396417620234601253e-01 1.852277565794640202e+00 -9.413272037897162103e-02 -6.564184227832461360e-01 7.230294152324544532e-01 1.001146309859942546e-01 9.388561976464426806e-13 8.815470055323348930e-13 7.896812544150311197e-13 8.419426180544808958e-13
1.825695161121227317e+00 7.544497310109536670e-02 -8.254426733219270673e+00 1.252788586857069841e-01 1.137134784302105822e-01 6.881796390139593989e-01 6.547293451780750173e-01 -1.216290795489285426e+00 5.774675176899379814e-01 -1.310461013352727022e+00 6.386491228730538650e-01 0.000000000000000000e+00 6.236250750008612842e-01 1.199325695358482102e+00 0.000000000000000000e+00
1.393345762111235508e+00 3.483244792473925711e-01 -1.202137047459345354e+00 1.251225732430226167e-01 1.134514837784710434e-01 6.877385470291936809e-01 6.539513993032058936e-01 -7.838654816131273018e-01 3.046739492138793581e-01 -8.791374236036110235e-01 3.659136564460500063e-01 7.134078484211103799e-13 3.507946473175931890e-01 7.669493194704118944e-01 8.870935670063362366e-13
3.534222817926793714e-01 3.569399498241199176e-01 9.089133243299528431e+00 8.678005495150654947e-02 3.078264446920778857e-02 5.695154904040969912e-01 3.314708379389952331e-01 -4.377200105311571110e-02 8.684757369717270581e-02 -5.136201221778086135e-02 1.767761821522939869e-01 6.959227194080347805e-13 1.387661726626222558e-01 6.928310139139859582e-13 7.355873641321300303e-13
1.325039723181135498e+00 1.220429451054602321e+00 6.344680066715287836e+00 3.254064038983673357e-01 3.475888216989653778e-01 1.121068982036825812e+00 1.159302978532775530e+00 -1.465414891973303158e-01 -2.487160308098184183e-02 -2.815583471594595988e-01 1.267752685674958073e-02 9.410935572495837675e-13 1.006457395723303616e-12 1.469872874745305757e-01 5.531924744672789274e-13
