# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
2.625505614939412258e+00 3.658151103144701821e+00 1.000000000000000000e+00 1.036391533212734473e+00 1.101222120212370470e+01 1.106056186430176780e+01 2.946089076156166322e-07 5.471347850532788659e-02 1.500629588365973710e-01 4.574476099909206006e-01 7.528739492317222393e-01 -2.105861521019675164e-02 -1.934757355449789884e-03 2.479578933753145975e-02 2.648256662200692418e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.749484561627069557e+00 3.790563936254736532e+00 1.000000000000000000e+00 9.367048673193476560e-01 1.089282681054250013e+01 1.098058292409619874e+01 3.683841104834314554e-07 6.165832990815915682e-02 1.630626577125955379e-01 4.902106691123959692e-01 7.847104110329317095e-01 -2.210248525532004793e-02 9.691816879954018304e-03 2.313904053812620987e-02 2.582809113498683862e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.865179764317700606e+00 3.919704391929670795e+00 1.000000000000000000e+00 8.344312270564824274e-01 1.078931039498126054e+01 1.087955205913170786e+01 4.173182881290657098e-07 7.290891340886998528e-02 1.740095029229342671e-01 5.357562095078671760e-01 8.123124906920091703e-01 -2.481280462430762723e-02 1.840156056382724614e-02 2.190963850102889410e-02 2.612572683546793631e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.974727956822845076e+00 4.050333026107010959e+00 1.000000000000000000e+00 7.273265853400499026e-01 1.069181020213833300e+01 1.076284296854177036e+01 4.513463191936462533e-07 8.750735228334088900e-02 1.845631310529034508e-01 5.848392591115896266e-01 8.386772887929732079e-01 -2.833613736082990497e-02 2.261215236622504676e-02 2.097182927582252887e-02 2.698952210059020126e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.079587103201958165e+00 4.185280636609961746e+00 1.000000000000000000e+00 6.130091694103594335e-01 1.057871343688924171e+01 1.064730490193148071e+01 4.741716426288772733e-07 1.035052481606145297e-01 1.951438556278395353e-01 6.320838517328071227e-01 8.644444419327177442e-01 -3.212718358914518069e-02 2.112217422096307473e-02 2.193112322402157588e-02 2.829457122004739797e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.189242719322066044e+00 4.326753492710198934e+00 1.000000000000000000e+00 4.894957593915005845e-01 1.045931273194390165e+01 1.051967878683910307e+01 4.860299790399969968e-07 1.203723311558995285e-01 2.050570966009934715e-01 6.783693798073402448e-01 8.865430734431436477e-01 -3.581399557295589231e-02 1.495900027979146785e-02 2.569344162429842982e-02 2.977243027110016219e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.317709927443558193e+00 4.475615644065699783e+00 1.000000000000000000e+00 3.560921825974201482e-01 1.033474219637727032e+01 1.037744216881757353e+01 4.862823441490610866e-07 1.378145449360165253e-01 2.151961849112105085e-01 7.234544015149215745e-01 9.075933950363985758e-01 -3.868453643346170256e-02 6.472163549275933292e-03 2.805601669774659968e-02 3.093107025976253588e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.457990010932291192e+00 4.630270995364512920e+00 1.000000000000000000e+00 2.141814792394125533e-01 1.018668862754843474e+01 1.024167433093039392e+01 4.692575859574003698e-07 1.498160755842261049e-01 2.276785230830284945e-01 7.527742278258449105e-01 9.341382615988580440e-01 -3.939932225267950283e-02 -1.786937623570850064e-03 2.659961993208526110e-02 3.164742242543104600e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.590988110592717497e+00 4.788508107491668220e+00 1.000000000000000000e+00 6.534432276202828405e-02 1.005176107844191868e+01 1.007892756708214144e+01 4.259550023172749431e-07 1.500730611332161124e-01 2.437665640652646459e-01 7.519564132298945935e-01 9.665542269658660146e-01 -3.721966427051714987e-02 -5.161496422516620441e-03 2.400856462168121652e-02 3.217923511453977398e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.711030933701123580e+00 4.949404283064366972e+00 1.000000000000000000e+00 -9.066341827565516098e-02 9.880004107902793820e+00 9.938669055545899411e+00 2.997655655498448163e-07 1.394897140764272958e-01 2.643313359500645277e-01 7.222894315324603909e-01 1.007596777144025069e+00 -3.254163543615939957e-02 -3.236624242042296373e-03 1.809054660247966240e-02 3.262621520230111344e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
