#T1 T2 L2 LInf 
1.380000000000000000e+02 1.390000000000000000e+02 3.456245452761114775e-04 1.752322929826819007e-03
1.390000000000000000e+02 1.400000000000000000e+02 4.017439150242306262e-04 1.546288783458118522e-03
1.400000000000000000e+02 1.410000000000000000e+02 3.449043374673986333e-04 1.435840648439320978e-03
1.410000000000000000e+02 1.420000000000000000e+02 3.562295868978279786e-04 1.768589175003574231e-03
1.420000000000000000e+02 1.430000000000000000e+02 3.224510632361716903e-04 1.618514305204305555e-03
1.430000000000000000e+02 1.440000000000000000e+02 2.877689997725843682e-04 1.973168194320828496e-03
1.440000000000000000e+02 1.450000000000000000e+02 5.069975960362180191e-04 3.040525860982462927e-03
1.450000000000000000e+02 1.460000000000000000e+02 2.610106659037045480e-03 1.446491043118897611e-02
1.460000000000000000e+02 1.470000000000000000e+02 1.492639764293098676e-03 8.102301810570566518e-03
1.470000000000000000e+02 1.480000000000000000e+02 4.717571722970366130e-04 2.578424196183966375e-03
1.480000000000000000e+02 1.490000000000000000e+02 4.579300970237566520e-04 2.370755438623739757e-03
1.490000000000000000e+02 1.510000000000000000e+02 1.132905593447958766e-03 8.107730048583488419e-03
1.510000000000000000e+02 1.520000000000000000e+02 4.214959573503396033e-04 1.992038678438648371e-03
1.520000000000000000e+02 1.530000000000000000e+02 3.393799305460138381e-04 1.616466078404739945e-03
1.530000000000000000e+02 1.540000000000000000e+02 2.598814180493149470e-04 1.221807040228198478e-03
1.540000000000000000e+02 1.550000000000000000e+02 1.985456269229906299e-04 1.033818123761028702e-03
1.550000000000000000e+02 1.560000000000000000e+02 1.601896006441781467e-04 7.965888418660458260e-04
1.560000000000000000e+02 1.570000000000000000e+02 1.319077024915917083e-04 6.908956889509307742e-04
1.570000000000000000e+02 1.580000000000000000e+02 1.031702999595122153e-04 4.514256503863970098e-04
1.580000000000000000e+02 1.590000000000000000e+02 9.883329527495420712e-05 5.254837708555904971e-04
1.590000000000000000e+02 1.600000000000000000e+02 8.453859692158401649e-05 4.670800714693568883e-04
1.600000000000000000e+02 1.610000000000000000e+02 7.460370053355663660e-05 4.269342972165052208e-04
1.610000000000000000e+02 1.620000000000000000e+02 6.967999283857488461e-05 3.969655723710250250e-04
